Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
232,0.3206,131,89,0.3538,65,42,0.5714,14,6,0.0,2,2,0.3333,6,4,0.75,20,5,116
234,0.3282,131,88,0.3538,65,42,0.5714,14,6,0.0,2,2,0.3333,6,4,0.75,20,5,117
236,0.3282,131,88,0.3538,65,42,0.5714,14,6,0.0,2,2,0.3333,6,4,0.75,20,5,118
238,0.3282,131,88,0.3692,65,41,0.5714,14,6,0.0,2,2,0.3333,6,4,0.75,20,5,119
240,0.3435,131,86,0.3692,65,41,0.5714,14,6,0.0,2,2,0.3333,6,4,0.75,20,5,120
242,0.3511,131,85,0.3692,65,41,0.5714,14,6,0.0,2,2,0.3333,6,4,0.75,20,5,121
244,0.3588,131,84,0.3692,65,41,0.5714,14,6,0.0,2,2,0.3333,6,4,0.75,20,5,122
246,0.3588,131,84,0.3692,65,41,0.6429,14,5,0.0,2,2,0.3333,6,4,0.75,20,5,123
248,0.3664,131,83,0.3692,65,41,0.6429,14,5,0.0,2,2,0.3333,6,4,0.75,20,5,124
250,0.3664,131,83,0.3692,65,41,0.6429,14,5,0.0,2,2,0.3333,6,4,0.75,20,5,125
252,0.374,131,82,0.3846,65,40,0.6429,14,5,0.0,2,2,0.3333,6,4,0.8,20,4,126
254,0.374,131,82,0.3846,65,40,0.6429,14,5,0.0,2,2,0.3333,6,4,0.8,20,4,127
256,0.374,131,82,0.3846,65,40,0.6429,14,5,0.0,2,2,0.3333,6,4,0.8,20,4,128
258,0.3969,131,79,0.3846,65,40,0.6429,14,5,0.0,2,2,0.3333,6,4,0.8,20,4,129
260,0.3969,131,79,0.3846,65,40,0.6429,14,5,0.0,2,2,0.3333,6,4,0.8,20,4,130
262,0.4046,131,78,0.3846,65,40,0.6429,14,5,0.0,2,2,0.3333,6,4,0.8,20,4,131
264,0.4046,131,78,0.3846,65,40,0.6429,14,5,0.0,2,2,0.3333,6,4,0.8,20,4,132
266,0.4122,131,77,0.3846,65,40,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,133
268,0.4122,131,77,0.3846,65,40,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,134
270,0.4122,131,77,0.3846,65,40,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,135
272,0.4122,131,77,0.3846,65,40,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,136
274,0.4122,131,77,0.3846,65,40,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,137
276,0.4275,131,75,0.3846,65,40,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,138
278,0.4275,131,75,0.3846,65,40,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,139
280,0.4275,131,75,0.4,65,39,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,140
282,0.4351,131,74,0.4,65,39,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,141
284,0.4504,131,72,0.4,65,39,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,142
286,0.4504,131,72,0.4154,65,38,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,143
288,0.458,131,71,0.4154,65,38,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,144
290,0.458,131,71,0.4308,65,37,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,145
292,0.458,131,71,0.4308,65,37,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,146
294,0.458,131,71,0.4308,65,37,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,147
296,0.458,131,71,0.4308,65,37,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,148
298,0.4656,131,70,0.4308,65,37,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,149
