FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total
99,198,0.2134387351778656,398,506,0.23664122137404575,200,262,0.27692307692307694,47,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.6785714285714286,27,84
100,200,0.21936758893280628,395,506,0.24809160305343514,197,262,0.29230769230769227,46,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.6785714285714286,27,84
101,202,0.2272727272727273,391,506,0.2557251908396947,195,262,0.29230769230769227,46,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.6785714285714286,27,84
102,204,0.23122529644268774,389,506,0.2595419847328244,194,262,0.29230769230769227,46,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
103,206,0.23715415019762842,386,506,0.26335877862595425,193,262,0.29230769230769227,46,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
104,208,0.23913043478260865,385,506,0.26335877862595425,193,262,0.29230769230769227,46,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
105,210,0.2509881422924901,379,506,0.26335877862595425,193,262,0.29230769230769227,46,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
106,212,0.2628458498023716,373,506,0.26717557251908397,192,262,0.29230769230769227,46,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
107,214,0.2707509881422925,369,506,0.26717557251908397,192,262,0.29230769230769227,46,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
108,216,0.2786561264822134,365,506,0.2709923664122137,191,262,0.3076923076923077,45,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
109,218,0.2786561264822134,365,506,0.2748091603053435,190,262,0.3076923076923077,45,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
110,220,0.28260869565217395,363,506,0.2824427480916031,188,262,0.3076923076923077,45,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.7023809523809523,25,84
111,222,0.2865612648221344,361,506,0.2977099236641222,184,262,0.32307692307692304,44,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7023809523809523,25,84
112,224,0.29051383399209485,359,506,0.3015267175572519,183,262,0.3384615384615385,43,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7142857142857143,24,84
113,226,0.29841897233201586,355,506,0.3129770992366412,180,262,0.3384615384615385,43,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7142857142857143,24,84
114,228,0.30434782608695654,352,506,0.3129770992366412,180,262,0.3538461538461538,42,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7142857142857143,24,84
115,230,0.31225296442687744,348,506,0.33206106870229013,175,262,0.3538461538461538,42,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7261904761904762,23,84
116,232,0.31422924901185767,347,506,0.3396946564885496,173,262,0.3538461538461538,42,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7261904761904762,23,84
117,234,0.3221343873517787,343,506,0.34732824427480913,171,262,0.3538461538461538,42,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7261904761904762,23,84
118,236,0.32608695652173914,341,506,0.35114503816793896,170,262,0.3538461538461538,42,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7261904761904762,23,84
119,238,0.3320158102766798,338,506,0.3549618320610687,169,262,0.3538461538461538,42,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7261904761904762,23,84
120,240,0.3399209486166008,334,506,0.3549618320610687,169,262,0.3538461538461538,42,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7261904761904762,23,84
121,242,0.3438735177865613,332,506,0.36641221374045807,166,262,0.36923076923076925,41,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7261904761904762,23,84
122,244,0.34782608695652173,330,506,0.36641221374045807,166,262,0.36923076923076925,41,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7380952380952381,22,84
123,246,0.34782608695652173,330,506,0.3740458015267175,164,262,0.3846153846153846,40,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.75,21,84
124,248,0.3537549407114624,327,506,0.3854961832061069,161,262,0.3846153846153846,40,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.75,21,84
125,250,0.35770750988142297,325,506,0.3854961832061069,161,262,0.3846153846153846,40,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.75,21,84
126,252,0.3616600790513834,323,506,0.39312977099236646,159,262,0.3846153846153846,40,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7619047619047619,20,84
127,254,0.36363636363636365,322,506,0.4007633587786259,157,262,0.4,39,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7619047619047619,20,84
128,256,0.36561264822134387,321,506,0.40458015267175573,156,262,0.4,39,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7619047619047619,20,84
129,258,0.3754940711462451,316,506,0.40458015267175573,156,262,0.41538461538461535,38,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7619047619047619,20,84
130,260,0.37944664031620556,314,506,0.40458015267175573,156,262,0.4307692307692308,37,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7619047619047619,20,84
131,262,0.38537549407114624,311,506,0.40458015267175573,156,262,0.4307692307692308,37,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7619047619047619,20,84
132,264,0.38735177865612647,310,506,0.40839694656488545,155,262,0.4307692307692308,37,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7738095238095238,19,84
133,266,0.39328063241106714,307,506,0.416030534351145,153,262,0.4461538461538461,36,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7738095238095238,19,84
134,268,0.3972332015810277,305,506,0.4274809160305344,150,262,0.4461538461538461,36,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7738095238095238,19,84
135,270,0.39920948616600793,304,506,0.4312977099236641,149,262,0.4461538461538461,36,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7738095238095238,19,84
136,272,0.39920948616600793,304,506,0.4312977099236641,149,262,0.4461538461538461,36,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7738095238095238,19,84
137,274,0.39920948616600793,304,506,0.43511450381679384,148,262,0.4461538461538461,36,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7738095238095238,19,84
138,276,0.4031620553359684,302,506,0.4389312977099237,147,262,0.46153846153846156,35,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7857142857142857,18,84
139,278,0.4031620553359684,302,506,0.4427480916030534,146,262,0.4769230769230769,34,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.7857142857142857,18,84
140,280,0.4031620553359684,302,506,0.4541984732824428,143,262,0.4769230769230769,34,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.8095238095238095,16,84
141,282,0.40909090909090906,299,506,0.46183206106870234,141,262,0.4769230769230769,34,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.8095238095238095,16,84
142,284,0.41501976284584985,296,506,0.4694656488549618,139,262,0.49230769230769234,33,65,0.23076923076923073,10,13,0.09523809523809523,19,21,0.8095238095238095,16,84
143,286,0.4189723320158103,294,506,0.47709923664122134,137,262,0.5076923076923077,32,65,0.3076923076923077,9,13,0.09523809523809523,19,21,0.8095238095238095,16,84
144,288,0.4209486166007905,293,506,0.48091603053435117,136,262,0.523076923076923,31,65,0.3076923076923077,9,13,0.09523809523809523,19,21,0.8095238095238095,16,84
