CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
66.0,final_sickled,214,215.0,53.5,53.75,0.25,completed,0.012250270833222505,0.0250884301494807,0.019217232863108318,0.010563774150796235,0.0029306511472289762,0.003997802734375,6,0.03,0,0.9525423049926758
67.0,semi_sickled,211,222.0,52.75,55.5,2.75,completed,0.02995164715157444,0.17514193463139238,0.047137971967458725,0.028098072652937844,0.005569017834204715,0.004528045654296875,6,0.03,0,0.5787392854690552
68.0,final_sickled,194,195.0,48.5,48.75,0.25,completed,0.014105132340531174,0.022214147116756067,0.0168470557158192,0.01741002794976036,0.006093046705548962,0.00408935546875,6,0.03,0,0.8321768045425415
70.0,final_sickled,175,181.0,43.75,45.25,1.5,completed,0.017378659160881813,0.034264158969745044,0.03193959932435642,0.009840421315113252,0.004916459396058185,0.004352916370738636,6,0.03,0,0.8275445103645325
71.0,final_sickled,381,382.0,95.25,95.5,0.25,completed,0.008882681160078695,0.015071466861991213,0.013333811114231745,0.00801075486621509,0.0026875867042690516,0.0032755533854166665,6,0.03,0,0.6569641828536987
73.0,semi_sickled,254,285.0,63.5,71.25,7.75,completed,0.042634337653079356,0.23074199440889062,0.07754273754027155,0.028823720743983157,0.00762336871573805,0.004608154296875,6,0.03,0,0.5816494822502136
74.0,final_sickled,212,215.0,53.0,53.75,0.75,completed,0.02100124535027135,0.0421497218310833,0.03684406913816929,0.014949379197787493,0.0048060081753646955,0.003444671630859375,6,0.03,0,0.6213577389717102
76.0,semi_sickled,297,304.0,74.25,76.0,1.75,completed,0.014105790405301378,0.030745883658528327,0.024461160103480022,0.00954327976796776,0.0042381808161735535,0.0036112467447916665,6,0.03,0,0.592093288898468
77.0,final_sickled,455,456.0,113.75,114.0,0.25,completed,0.013666353280617237,0.026247289765160532,0.020285921171307564,0.012734064240551865,0.005312012295083453,0.003448486328125,6,0.03,0,0.5644966959953308
82.0,final_sickled,170,171.0,42.5,42.75,0.25,completed,0.01072205530848199,0.022337397560477257,0.013790433605511984,0.011129459036358943,0.005983226854975025,0.0045013427734375,6,0.03,0,0.7754627466201782
84.0,semi_sickled,213,214.0,53.25,53.5,0.25,completed,0.011440024116260855,0.0181962983799167,0.0153733529150486,0.012056962683952102,0.00449187140717792,0.0040740966796875,6,0.03,0,0.815323531627655
86.0,semi_sickled,201,229.0,50.25,57.25,7.0,completed,0.03945359802438003,0.31041500717401505,0.061323783388643555,0.03734895537931924,0.008799015523188493,0.006016586766098485,6,0.03,0,0.5816494822502136
