Video,CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,ScoreMode,MinDurationSec,EndpointSubtypeProb
V1,92.0,semi_sickled,174,178.0,43.5,44.5,1.0,completed,0.02125981218899445,0.05258648352464661,0.03205486966503991,0.02013241856669386,0.005757658005071183,0.005374484592013889,6,0.05,probability,0,0.6933088898658752
V1,93.0,final_sickled,81,82.0,20.25,20.5,0.25,completed,0.006612122690178998,0.017906734929420055,0.010186406628539165,0.004795901205701132,0.003581144759664312,0.0032908121744791665,6,0.05,probability,0,0.9815017580986023
V1,98.0,final_sickled,172,179.0,43.0,44.75,1.75,completed,0.019119188721500296,0.03148568960605189,0.030980519329508144,0.015591601356087873,0.005607158716884442,0.004552205403645833,6,0.05,probability,0,0.7553456425666809
V1,99.0,semi_sickled,301,304.0,75.25,76.0,0.75,completed,0.015696211720205612,0.03427726291120053,0.029076818376779556,0.006856047810288146,0.007261572434799746,0.00606536865234375,6,0.05,probability,0,0.687125563621521
V1,100.0,semi_sickled,186,187.0,46.5,46.75,0.25,completed,0.017666018145973798,0.028978062374517326,0.025786350170771282,0.0157884352762873,0.008927936316467822,0.00567626953125,6,0.05,probability,0,0.5049704313278198
V1,102.0,semi_sickled,300,301.0,75.0,75.25,0.25,completed,0.012184027111410008,0.018279818634619006,0.02176724250117938,0.00706889452218699,0.003685553868611654,0.004338582356770833,6,0.05,probability,0,0.7661033868789673
V1,104.0,semi_sickled,185,186.0,46.25,46.5,0.25,completed,0.017400817622547037,0.02526277017313987,0.03284087032079697,0.00917000820239385,0.004385981359519064,0.004053751627604167,6,0.05,probability,0,0.8567191958427429
V1,107.0,final_sickled,149,152.0,37.25,38.0,0.75,completed,0.02447311515270485,0.11477879921440036,0.04679563455283642,0.01323490087816026,0.004964291973010404,0.004016876220703125,6,0.05,probability,0,0.6614300012588501
V1,109.0,semi_sickled,216,217.0,54.0,54.25,0.25,completed,0.008816226671721475,0.021373794798273595,0.01144266128540039,0.009081346933574727,0.0035772820313771567,0.004908243815104167,6,0.05,probability,0,0.5150554180145264
V1,110.0,semi_sickled,382,383.0,95.5,95.75,0.25,completed,0.014058242299749205,0.023689635962364265,0.022584026058514912,0.011623814158762494,0.0036067962646484375,0.0040435791015625,6,0.05,probability,0,0.7816067934036255
V1,113.0,semi_sickled,203,207.0,50.75,51.75,1.0,completed,0.0155938001045595,0.036253837682306764,0.022431457208262548,0.015649462248095207,0.004705849595160948,0.004445393880208333,6,0.05,probability,0,0.6781724095344543
V1,114.0,final_sickled,143,157.0,35.75,39.25,3.5,completed,0.03155890508803025,0.06565551746170968,0.05424418261176661,0.023574787412623043,0.006515127269698209,0.006365324321546052,6,0.05,probability,0,0.7691279649734497
V1,116.0,final_sickled,172,187.0,43.0,46.75,3.75,completed,0.023464450989886244,0.05988098997622729,0.041085457801818846,0.016570989933097736,0.006106493699189741,0.00373687744140625,6,0.05,probability,0,0.5116389393806458
V1,118.0,final_sickled,121,130.0,30.25,32.5,2.25,completed,0.02330600495240236,0.04012285366188735,0.044142660817929676,0.012570143515144341,0.005777157897162917,0.004217965262276786,6,0.05,probability,0,0.7331511378288269
V1,120.0,final_sickled,280,281.0,70.0,70.25,0.25,completed,0.006564765298632362,0.011800723070336971,0.010106409589449564,0.004964884137734771,0.0033106447760170945,0.0029652913411458335,6,0.05,probability,0,0.6510430574417114
V1,121.0,final_sickled,193,206.0,48.25,51.5,3.25,completed,0.022650590028044666,0.039743740617996084,0.035801086160871715,0.020379464859919,0.005408007224711279,0.004170735677083333,6,0.05,probability,0,0.681361973285675
V1,122.0,final_sickled,222,229.0,55.5,57.25,1.75,completed,0.021190478172987543,0.05157622238039039,0.030570077399412792,0.022280005204568926,0.004445466290538509,0.004870096842447917,6,0.05,probability,0,0.5286591053009033
V1,124.0,final_sickled,180,181.0,45.0,45.25,0.25,completed,0.015572880103961023,0.023765500250738116,0.027182841052611668,0.009807844995521009,0.005639726965455338,0.004496256510416667,6,0.05,probability,0,0.7001221179962158
V1,125.0,semi_sickled,324,346.0,81.0,86.5,5.5,completed,0.017590060927452415,0.05288553884602152,0.034304633184715556,0.00861805962415895,0.003093080030305794,0.0037220142505787037,6,0.05,probability,0,0.5507200360298157
V1,126.0,semi_sickled,423,433.0,105.75,108.25,2.5,completed,0.0218250871807686,0.05505274273455143,0.03905154863993327,0.014665619611817723,0.004287338916522761,0.00428466796875,6,0.05,probability,0,0.8563207387924194
V1,127.0,final_sickled,272,293.0,68.0,73.25,5.25,completed,0.02149654841450683,0.048133380677609236,0.03807048528240277,0.014546488815260371,0.004617189692978103,0.004799476036658654,6,0.05,probability,0,0.7314690947532654
V1,128.0,final_sickled,289,290.0,72.25,72.5,0.25,completed,0.01615369724944079,0.02292663515545428,0.028743858138720196,0.009114325570408255,0.0062868189221868915,0.005442301432291667,6,0.05,probability,0,0.6341887712478638
V1,131.0,semi_sickled,405,426.0,101.25,106.5,5.25,completed,0.02376305920249881,0.06411831719451584,0.0456100762463533,0.012343917516633295,0.004929461156000168,0.004659799429086538,6,0.05,probability,0,0.8080894351005554
V1,132.0,final_sickled,242,269.0,60.5,67.25,6.75,completed,0.018877759434235485,0.05516267167404294,0.03314213058911264,0.013021910453971941,0.004608241386449663,0.0038976669311523438,6,0.05,probability,0,0.8590661883354187
V1,133.0,final_sickled,152,169.0,38.0,42.25,4.25,completed,0.021860800070002868,0.06416284601436928,0.03941726887767965,0.01420771838456858,0.005333775389854881,0.0036357532848011365,6,0.05,probability,0,0.5242940783500671
V1,134.0,final_sickled,195,217.0,48.75,54.25,5.5,completed,0.032696237334231326,0.16695129349827767,0.05835271737089864,0.022787095228624012,0.006589682005276835,0.004447654441550926,6,0.05,probability,0,0.9480803608894348
V1,135.0,final_sickled,104,105.0,26.0,26.25,0.25,completed,0.007431409853112805,0.016859282174846158,0.01260372685889403,0.004572972694101433,0.003217495153270041,0.0030975341796875,6,0.05,probability,0,0.9483075141906738
V1,138.0,final_sickled,307,308.0,76.75,77.0,0.25,completed,0.01256262020857927,0.021684905246365814,0.021836566428343456,0.00869630285887979,0.0027698658717175326,0.0035044352213541665,6,0.05,probability,0,0.7671829462051392
