Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,Class_6,Class_6_total,Class_6_pos,FrameIndex
362,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,181
364,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,182
366,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,183
368,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,184
370,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,185
372,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,186
374,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,187
376,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,188
378,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,189
380,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,190
382,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,191
384,0.5132,76,37,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,192
386,0.5263,76,36,0.5625,64,28,0.6957,46,14,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,193
388,0.5395,76,35,0.5625,64,28,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,194
390,0.5395,76,35,0.5625,64,28,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,195
392,0.5395,76,35,0.5781,64,27,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,196
394,0.5395,76,35,0.5938,64,26,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,197
396,0.5395,76,35,0.5938,64,26,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,198
398,0.5395,76,35,0.5938,64,26,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,199
400,0.5395,76,35,0.5938,64,26,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,200
402,0.5395,76,35,0.5938,64,26,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,201
404,0.5395,76,35,0.5938,64,26,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,202
406,0.5395,76,35,0.5938,64,26,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,203
408,0.5395,76,35,0.6094,64,25,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,204
410,0.5395,76,35,0.6094,64,25,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,205
412,0.5395,76,35,0.6094,64,25,0.6957,46,14,0.8889,9,1,0.25,4,3,0.3333,6,4,0.7778,18,4,206
