FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total,Class_6,Class_6_pos,Class_6_total
98,196,0.18717948717948718,317,390,0.19310344827586212,234,290,0.2442748091603053,99,131,0.40909090909090906,13,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.5375,37,80
99,198,0.1974358974358974,313,390,0.20344827586206893,231,290,0.25190839694656486,98,131,0.40909090909090906,13,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.5375,37,80
100,200,0.19999999999999996,312,390,0.21724137931034482,227,290,0.25190839694656486,98,131,0.40909090909090906,13,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.5375,37,80
101,202,0.21282051282051284,307,390,0.22758620689655173,224,290,0.2595419847328244,97,131,0.40909090909090906,13,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.5375,37,80
102,204,0.22307692307692306,303,390,0.23793103448275865,221,290,0.26717557251908397,96,131,0.40909090909090906,13,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.5375,37,80
103,206,0.22820512820512817,301,390,0.23793103448275865,221,290,0.2748091603053435,95,131,0.40909090909090906,13,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.5375,37,80
104,208,0.23589743589743595,298,390,0.2448275862068966,219,290,0.2748091603053435,95,131,0.40909090909090906,13,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.55,36,80
105,210,0.24102564102564106,296,390,0.24827586206896557,218,290,0.2748091603053435,95,131,0.40909090909090906,13,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.55,36,80
106,212,0.24615384615384617,294,390,0.24827586206896557,218,290,0.2748091603053435,95,131,0.40909090909090906,13,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.55,36,80
107,214,0.2564102564102564,290,390,0.2551724137931034,216,290,0.2824427480916031,94,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.55,36,80
108,216,0.25897435897435894,289,390,0.27241379310344827,211,290,0.29007633587786263,93,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.5625,35,80
109,218,0.26410256410256405,287,390,0.27586206896551724,210,290,0.2977099236641222,92,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1071428571428571,25,28,0.5625,35,80
110,220,0.2692307692307693,285,390,0.2827586206896552,208,290,0.30534351145038163,91,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.5625,35,80
111,222,0.27179487179487183,284,390,0.2896551724137931,206,290,0.32061068702290074,89,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.5625,35,80
112,224,0.2743589743589744,283,390,0.30000000000000004,203,290,0.3282442748091603,88,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.5625,35,80
